a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.42-1
acl 2.2.52-2
acpid 2.0.27-1
adwaita-icon-theme 3.20-2
alsa-firmware 1.0.29-1
alsa-lib 1.1.1-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.1-1
arandr 0.1.9-1
archlinux-keyring 20160402-1
artwork-i3 20160611-1
aspell 0.60.6.1-5
at-spi2-atk 2.20.1-2
at-spi2-core 2.20.2-1
atk 2.20.0-1
atkmm 2.24.2-2
attr 2.4.47-1
autoconf 2.69-3
automake 1.15-1
avahi 0.6.32-2
b43-fwcutter 019-1
babl 0.1.14-1
bash 4.3.042-5
bash-completion 2.3-4
bc 1.06.95-2
binutils 2.26-4
bison 3.0.4-2
blueman 2.0.4-2
bluez 5.40-1
bluez-libs 5.40-1
bmenu 0.4.4-1
boost-libs 1.60.0-5
brandr 0.2-3
breeze-maia-icon-themes 5.23.0-1
btrfs-progs 4.6-1
bzip2 1.0.6-5
ca-certificates 20160507-1
ca-certificates-cacert 20140824-3
ca-certificates-mozilla 3.24-1
ca-certificates-utils 20160507-1
cairo 1.14.6-1
cairomm 1.12.0-2
cantarell-fonts 1:0.0.24-1
cdparanoia 10.2-5
celt 0.11.3-2
chromaprint 1.3.1-1
cifs-utils 6.5-1
ckbcomp 1.120-1
clipit 1.4.2-6
cmatrix 1.2a-11
colord 1.3.2-2
compositeproto 0.4.2-3
compton 0.1_beta2.5-3
confuse 2.8-2
conky 1.10.2-1
conky-i3 20160606-1
coreutils 8.25-2
cpupower 4.6-4
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.0-1
cryptsetup 1.7.2-1
cups 2.1.4-1
cups-filters 1.9.0-1
cups-pdf 2.6.1-2
cups-pk-helper 0.2.6-1
curl 7.49.1-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.8-1
dbus-glib 0.106-1
dcadec 0.2.0-1
dconf 0.26.0-1
desktop-file-utils 0.22-2
device-mapper 2.02.155-1
dfc 3.0.5-1
dhclient 4.3.4-2
dhcpcd 6.11.1-1
diffutils 3.3-3
ding-libs 0.5.0-1
dmenu-manjaro 4.6-6
dmidecode 3.0-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnsmasq 2.76-1
dnssec-anchors 20150403-1
dosfstools 4.0-3
downgrade 5.2.3-1
dunst 1.1.0-1
e2fsprogs 1.42.13-1
ecryptfs-utils 108-2
